a,Unicode,Char,DevName,PostName,Set,UnicodeName,OTL,Comment
0,,,.notdef,.notdef,Common,,,
1,0x0000,,NULL,NULL,Common,<control>,,
2,0x000D,,CR,CR,Common,<control>,,
3,0x0020, ,space,space,Common,SPACE,,
4,0x00A0, ,nbspace,uni00A0,Common,NO-BREAK SPACE,,
5,0x0041,A,A,A,PNWIL+Euro,LATIN CAPITAL LETTER A,,
6,0x0042,B,B,B,PNWIL+Euro,LATIN CAPITAL LETTER B,,
7,0x0043,C,C,C,PNWIL+Euro,LATIN CAPITAL LETTER C,,
8,0x0044,D,D,D,PNWIL+Euro,LATIN CAPITAL LETTER D,,
9,0x0045,E,E,E,PNWIL+Euro,LATIN CAPITAL LETTER E,,
10,0x0046,F,F,F,PNWIL+Euro,LATIN CAPITAL LETTER F,,
11,0x0047,G,G,G,PNWIL+Euro,LATIN CAPITAL LETTER G,,
12,0x0048,H,H,H,PNWIL+Euro,LATIN CAPITAL LETTER H,,
13,0x0049,I,I,I,PNWIL+Euro,LATIN CAPITAL LETTER I,,
14,0x004A,J,J,J,PNWIL+Euro,LATIN CAPITAL LETTER J,,
15,0x004B,K,K,K,PNWIL+Euro,LATIN CAPITAL LETTER K,,
16,0x004C,L,L,L,PNWIL+Euro,LATIN CAPITAL LETTER L,,
17,0x004D,M,M,M,PNWIL+Euro,LATIN CAPITAL LETTER M,,
18,0x004E,N,N,N,PNWIL+Euro,LATIN CAPITAL LETTER N,,
19,0x004F,O,O,O,PNWIL+Euro,LATIN CAPITAL LETTER O,,
20,0x0050,P,P,P,PNWIL+Euro,LATIN CAPITAL LETTER P,,
21,0x0051,Q,Q,Q,PNWIL+Euro,LATIN CAPITAL LETTER Q,,
22,0x0052,R,R,R,PNWIL+Euro,LATIN CAPITAL LETTER R,,
23,0x0053,S,S,S,PNWIL+Euro,LATIN CAPITAL LETTER S,,
24,0x0054,T,T,T,PNWIL+Euro,LATIN CAPITAL LETTER T,,
25,0x0055,U,U,U,PNWIL+Euro,LATIN CAPITAL LETTER U,,
26,0x0056,V,V,V,PNWIL+Euro,LATIN CAPITAL LETTER V,,
27,0x0057,W,W,W,PNWIL+Euro,LATIN CAPITAL LETTER W,,
28,0x0058,X,X,X,PNWIL+Euro,LATIN CAPITAL LETTER X,,
29,0x0059,Y,Y,Y,PNWIL+Euro,LATIN CAPITAL LETTER Y,,
30,0x005A,Z,Z,Z,PNWIL+Euro,LATIN CAPITAL LETTER Z,,
31,0x00C0,À,Agrave,Agrave,PNWIL+Euro,LATIN CAPITAL LETTER A WITH GRAVE,,
32,0x00C1,Á,Aacute,Aacute,PNWIL+Euro,LATIN CAPITAL LETTER A WITH ACUTE,,
33,0x00C2,Â,Acircumflex,Acircumflex,PNWIL+Euro,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,,
34,0x01CD,Ǎ,Acaron,uni01CD,PNWIL,LATIN CAPITAL LETTER A WITH CARON,,
35,0x00C3,Ã,Atilde,Atilde,Euro,LATIN CAPITAL LETTER A WITH TILDE,,
36,0x00C4,Ä,Adieresis,Adieresis,PNWIL+Euro,LATIN CAPITAL LETTER A WITH DIAERESIS,,
37,0x0100,Ā,Amacron,Amacron,PNWIL+Euro,LATIN CAPITAL LETTER A WITH MACRON,,
38,0x0102,Ă,Abreve,Abreve,Euro,LATIN CAPITAL LETTER A WITH BREVE,,
39,0x00C5,Å,Aring,Aring,Euro,LATIN CAPITAL LETTER A WITH RING ABOVE,,
40,0x01FA,Ǻ,Aringacute,Aringacute,Euro,LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE,,
41,0x0226,Ȧ,Adotaccent,uni0226,NA+,LATIN CAPITAL LETTER A WITH DOT ABOVE,,TQ-INAT p.103 Tsėhesenėstsestotse (Cheyenne)
42,0x0104,Ą,Aogonek,Aogonek,PNWIL,LATIN CAPITAL LETTER A WITH OGONEK,,Default = ogonek centered below (unattached)
43,,,Aogonek.euro,Aogonek.euro,Euro,,"locl(CSB,LTH,PLK) / ss04",European form
44,,,Aogonek.alt,Aogonek.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
45,,,Aogonek.alt2,Aogonek.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
46,0x023A,Ⱥ,Aslash,uni023A,NA+,LATIN CAPITAL LETTER A WITH STROKE,,"TQ-INAT p.136 SENĆOŦEN (Straights Salish, Saanich)"
47,0x00C6,Æ,AE,AE,PNWIL+Euro,LATIN CAPITAL LETTER AE,,
