Unicode,,DevName,PostName,Set,UnicodeName,OTL,Comment
,,.notdef,.notdef,Common,,,
0x0000,,NULL,NULL,Common,<control>,,
0x000D,,CR,CR,Common,<control>,,
0x0020, ,space,space,Common,SPACE,,
0x00A0, ,nbspace,uni00A0,Common,NO-BREAK SPACE,,
0x0041,A,A,A,PNWIL+Euro,LATIN CAPITAL LETTER A,,
0x0042,B,B,B,PNWIL+Euro,LATIN CAPITAL LETTER B,,
0x0043,C,C,C,PNWIL+Euro,LATIN CAPITAL LETTER C,,
0x0044,D,D,D,PNWIL+Euro,LATIN CAPITAL LETTER D,,
0x0045,E,E,E,PNWIL+Euro,LATIN CAPITAL LETTER E,,
0x0046,F,F,F,PNWIL+Euro,LATIN CAPITAL LETTER F,,
0x0047,G,G,G,PNWIL+Euro,LATIN CAPITAL LETTER G,,
0x0048,H,H,H,PNWIL+Euro,LATIN CAPITAL LETTER H,,
0x0049,I,I,I,PNWIL+Euro,LATIN CAPITAL LETTER I,,
0x004A,J,J,J,PNWIL+Euro,LATIN CAPITAL LETTER J,,
0x004B,K,K,K,PNWIL+Euro,LATIN CAPITAL LETTER K,,
0x004C,L,L,L,PNWIL+Euro,LATIN CAPITAL LETTER L,,
0x004D,M,M,M,PNWIL+Euro,LATIN CAPITAL LETTER M,,
0x004E,N,N,N,PNWIL+Euro,LATIN CAPITAL LETTER N,,
0x004F,O,O,O,PNWIL+Euro,LATIN CAPITAL LETTER O,,
0x0050,P,P,P,PNWIL+Euro,LATIN CAPITAL LETTER P,,
0x0051,Q,Q,Q,PNWIL+Euro,LATIN CAPITAL LETTER Q,,
0x0052,R,R,R,PNWIL+Euro,LATIN CAPITAL LETTER R,,
0x0053,S,S,S,PNWIL+Euro,LATIN CAPITAL LETTER S,,
0x0054,T,T,T,PNWIL+Euro,LATIN CAPITAL LETTER T,,
0x0055,U,U,U,PNWIL+Euro,LATIN CAPITAL LETTER U,,
0x0056,V,V,V,PNWIL+Euro,LATIN CAPITAL LETTER V,,
0x0057,W,W,W,PNWIL+Euro,LATIN CAPITAL LETTER W,,
0x0058,X,X,X,PNWIL+Euro,LATIN CAPITAL LETTER X,,
0x0059,Y,Y,Y,PNWIL+Euro,LATIN CAPITAL LETTER Y,,
0x005A,Z,Z,Z,PNWIL+Euro,LATIN CAPITAL LETTER Z,,
0x00C0,À,Agrave,Agrave,PNWIL+Euro,LATIN CAPITAL LETTER A WITH GRAVE,,
0x00C1,Á,Aacute,Aacute,PNWIL+Euro,LATIN CAPITAL LETTER A WITH ACUTE,,
0x00C2,Â,Acircumflex,Acircumflex,PNWIL+Euro,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,,
0x01CD,Ǎ,Acaron,uni01CD,PNWIL,LATIN CAPITAL LETTER A WITH CARON,,
0x00C3,Ã,Atilde,Atilde,Euro,LATIN CAPITAL LETTER A WITH TILDE,,
0x00C4,Ä,Adieresis,Adieresis,PNWIL+Euro,LATIN CAPITAL LETTER A WITH DIAERESIS,,
